City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Rehoboth,NA,-23.3167,17.0833,64.99,54,5,7.18,clear sky
79,Belmonte,BR,-15.8631,-38.8828,73.71,86,15,9.33,few clouds
80,Upata,VE,8.0086,-62.3989,75.2,95,100,3.11,overcast clouds
81,Talaya,RU,61.3833,152.75,14.86,88,39,2.86,scattered clouds
82,Saint-Augustin,CA,51.226,-58.6502,36.52,75,0,4.03,clear sky
83,Lebu,CL,-37.6167,-73.65,52.41,88,20,14.92,few clouds
84,Port Augusta,AU,-32.5,137.7667,68.7,50,98,13.76,overcast clouds
85,Adolfo Ruiz Cortines,MX,25.75,-108.75,81.03,42,0,7.99,clear sky
86,Vanavara,RU,60.34,102.2797,19.62,79,23,5.93,few clouds
87,Pangnirtung,CA,66.1451,-65.7125,27.54,97,97,5.44,overcast clouds
88,Tiksi,RU,71.6872,128.8694,12.07,95,100,5.08,overcast clouds
89,Rameshki,RU,57.3439,36.0453,40.46,89,99,6.42,overcast clouds
90,Moerai,PF,-22.4333,-151.3333,72.52,79,56,22.88,broken clouds
91,Polis,CY,35.0367,32.4264,62.42,75,9,3.91,clear sky
92,Alappuzha,IN,9.49,76.3264,77.58,86,100,2.86,overcast clouds
93,Windhoek,NA,-22.5594,17.0832,60.12,85,7,4.81,clear sky
94,Fortuna,US,40.5982,-124.1573,60.1,70,1,0.0,clear sky
95,Lata,PT,40.1629,-8.3327,63.05,93,100,5.99,overcast clouds
96,Moratuwa,LK,6.773,79.8816,73.42,83,91,1.1,overcast clouds
97,Shambu,ET,9.5667,37.1,50.23,80,67,3.51,broken clouds
98,Nishihara,JP,26.1842,127.7558,76.68,50,20,14.97,few clouds
99,Misratah,LY,32.3754,15.0925,69.01,69,15,16.82,few clouds
100,Sao Filipe,CV,14.8961,-24.4956,77.72,80,74,7.52,broken clouds
101,Ransang,PH,8.9603,117.5828,84.81,70,42,1.45,scattered clouds
102,Dongsheng,CN,39.8161,109.9776,47.53,42,2,14.07,clear sky
103,Brenham,US,30.1669,-96.3977,65.03,32,1,5.75,clear sky
104,Khatanga,RU,71.9667,102.5,-16.1,99,92,7.05,overcast clouds
105,Mana,GF,5.6592,-53.7767,78.06,91,100,8.34,overcast clouds
106,Klaksvik,FO,62.2266,-6.589,50.92,88,41,25.01,scattered clouds
107,Carnarvon,AU,-24.8667,113.6333,71.62,36,0,18.37,clear sky
108,Riyadh,SA,24.6877,46.7219,75.0,25,99,10.04,overcast clouds
109,Guilin,CN,25.2819,110.2864,64.04,83,100,4.99,overcast clouds
110,Tessalit,ML,20.1986,1.0114,77.63,20,21,9.46,few clouds
111,Racine,US,42.7495,-88.0751,55.09,94,100,3.0,light rain
112,Bitkine,TD,11.9801,18.2138,85.14,41,100,6.17,overcast clouds
113,Rosarito,MX,32.3333,-117.0333,79.41,44,0,7.78,clear sky
114,Adrar,MR,20.5022,-10.0711,75.97,34,100,9.4,overcast clouds
115,Bengkulu,ID,-3.8004,102.2655,83.28,70,46,4.07,scattered clouds
116,Portland,US,45.5234,-122.6762,67.75,84,90,4.0,overcast clouds
117,Castro,BR,-24.7911,-50.0119,60.53,96,98,7.76,overcast clouds
118,Avarua,CK,-21.2078,-159.775,75.25,69,75,11.5,broken clouds
119,Ahipara,NZ,-35.1667,173.1667,64.33,72,3,11.41,clear sky
120,Palmas,BR,-10.2128,-48.3603,82.27,69,40,2.3,scattered clouds
121,Vila,PT,42.0304,-8.1588,49.33,94,100,4.54,light rain
122,Diffa,NE,13.3154,12.6113,80.19,17,67,8.37,broken clouds
123,Sokoni,TZ,-6.4333,39.55,78.66,79,100,8.95,overcast clouds
124,General Cepeda,MX,25.3833,-101.45,61.45,22,0,4.68,clear sky
125,Yeppoon,AU,-23.1333,150.7333,87.58,56,36,16.51,scattered clouds
126,Upernavik,GL,72.7868,-56.1549,21.02,57,100,4.41,overcast clouds
127,Hasaki,JP,35.7333,140.8333,64.29,50,100,23.96,overcast clouds
128,Kavieng,PG,-2.5744,150.7967,86.14,68,97,6.8,light rain
129,Hami,CN,42.8,93.45,51.3,33,7,3.89,clear sky
130,Lasa,IT,46.6166,10.7002,32.74,54,88,4.36,overcast clouds
131,Thompson,CA,55.7435,-97.8558,40.12,93,9,7.74,clear sky
132,Atuona,PF,-9.8,-139.0333,78.39,68,5,16.04,clear sky
133,Tiznit,MA,29.5833,-9.5,59.79,73,2,1.25,clear sky
134,Longyearbyen,SJ,78.2186,15.6401,19.24,79,0,4.61,clear sky
135,Kalmunai,LK,7.4167,81.8167,79.83,80,83,4.09,broken clouds
136,Tuatapere,NZ,-46.1333,167.6833,60.33,76,69,8.08,broken clouds
137,Salamiyah,SY,35.0113,37.0532,63.55,52,91,4.41,overcast clouds
138,Vanimo,PG,-2.6741,141.3028,85.5,68,89,6.53,overcast clouds
139,Doha,QA,25.2867,51.5333,82.29,74,0,6.91,clear sky
140,Mandalgovi,MN,45.7625,106.2708,31.19,74,62,22.59,broken clouds
141,Xaxim,BR,-26.9617,-52.5347,61.86,93,5,4.36,clear sky
142,Razole,IN,16.4833,81.8333,80.89,88,100,6.58,overcast clouds
143,Demirci,TR,39.0461,28.6589,43.23,83,3,6.76,clear sky
144,Xiongyue,CN,40.1774,122.1228,60.13,51,100,8.52,overcast clouds
145,Esperance,AU,-33.8667,121.9,53.44,62,96,10.47,overcast clouds
146,Ponta Do Sol,PT,32.6667,-17.1,69.71,65,80,7.49,broken clouds
147,Nyahururu,KE,0.0421,36.3673,51.35,77,32,3.18,scattered clouds
148,Sitka,US,57.0531,-135.33,38.93,82,61,5.79,light rain
149,Hamilton,US,39.1834,-84.5333,57.42,96,90,1.01,overcast clouds
150,Bambous Virieux,MU,-20.3428,57.7575,74.21,80,15,14.63,few clouds
151,Tibati,CM,6.4667,12.6333,66.63,89,25,1.57,scattered clouds
152,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,76,100,10.25,overcast clouds
153,Mehriz,IR,31.5917,54.4318,49.87,37,0,1.54,clear sky
154,Gejiu,CN,23.306,103.1635,55.17,89,96,3.56,overcast clouds
155,Dridu,RO,44.7,26.45,45.03,52,7,3.04,clear sky
156,Westport,US,41.1415,-73.3579,55.15,85,1,10.0,clear sky
157,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,92,100,19.24,overcast clouds
158,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,73,0,8.05,clear sky
159,Aklavik,CA,68.2191,-135.0107,13.57,96,98,1.52,overcast clouds
160,Porto Walter,BR,-8.2686,-72.7439,72.36,97,100,2.82,overcast clouds
161,Port Townsend,US,48.117,-122.7605,55.69,97,90,3.0,moderate rain
162,San Quintin,MX,30.4833,-115.95,68.59,55,0,3.04,clear sky
163,Belyy Yar,RU,53.6039,91.3903,21.09,93,40,4.47,mist
164,Nouakchott,MR,18.0858,-15.9785,78.73,67,100,13.69,overcast clouds
165,Polson,US,47.6936,-114.1632,53.73,42,100,9.71,overcast clouds
166,Natal,BR,-5.795,-35.2094,77.65,83,75,5.75,broken clouds
167,New Norfolk,AU,-42.7826,147.0587,45.91,77,100,4.0,light rain
168,Tanete,ID,-3.9443,119.7848,89.42,58,67,6.06,broken clouds
169,Paranapanema,BR,-23.3886,-48.7228,64.06,93,100,9.86,overcast clouds
170,Pevek,RU,69.7008,170.3133,1.9,92,100,4.47,overcast clouds
171,Erenhot,CN,43.6475,111.9767,47.98,38,74,12.64,broken clouds
172,Kahului,US,20.8947,-156.47,80.96,83,53,8.99,broken clouds
173,Warrington,GB,53.3925,-2.5802,56.01,96,20,3.0,few clouds
174,Xichang,CN,27.8964,102.2634,57.54,78,97,3.78,overcast clouds
175,Atascadero,US,35.4894,-120.6707,73.29,55,0,4.68,clear sky
176,Arman,RU,59.7,150.1667,29.16,95,100,2.19,light snow
177,Samarai,PG,-10.6167,150.6667,84.74,74,11,11.32,few clouds
178,Lompoc,US,34.6391,-120.4579,76.01,74,1,5.75,clear sky
179,Kitakata,JP,37.65,139.8667,62.56,55,51,5.93,broken clouds
180,Dunkwa,GH,5.9656,-1.78,72.73,99,64,1.23,broken clouds
181,Andenes,NO,69.3143,16.1194,42.78,93,89,12.66,overcast clouds
182,Saint-Francois,FR,46.4154,3.9054,49.68,88,0,5.75,clear sky
183,Bayir,TR,37.2687,28.2167,43.32,45,0,2.68,clear sky
184,Hilo,US,19.7297,-155.09,80.26,81,72,1.01,broken clouds
185,Tautira,PF,-17.7333,-149.15,71.62,87,100,8.03,moderate rain
186,Maldonado,UY,-34.6667,-54.9167,62.22,73,0,10.02,clear sky
187,Ust-Barguzin,RU,53.45,108.9833,33.48,57,95,4.25,overcast clouds
188,Meulaboh,ID,4.1363,96.1285,80.71,83,94,3.11,overcast clouds
189,Douentza,ML,14.9951,-2.9517,88.34,34,100,3.4,overcast clouds
190,Kodiak,US,57.79,-152.4072,36.36,62,17,2.62,few clouds
191,Manacapuru,BR,-3.2997,-60.6206,77.58,86,26,3.71,scattered clouds
192,Wakkanai,JP,45.4094,141.6739,48.56,64,6,24.25,clear sky
193,Grindavik,IS,63.8424,-22.4338,43.27,81,0,19.57,clear sky
194,Baraboo,US,43.4711,-89.7443,51.94,96,40,1.01,moderate rain
195,Mahebourg,MU,-20.4081,57.7,74.25,81,12,13.8,few clouds
196,Cayenne,GF,4.9333,-52.3333,82.09,81,0,1.99,clear sky
197,Narsaq,GL,60.9167,-46.05,30.42,72,100,3.76,overcast clouds
198,Margate,GB,51.3813,1.3862,58.87,80,59,5.01,broken clouds
199,Horasan,TR,40.0458,42.1728,43.97,50,100,3.02,overcast clouds
200,Kaliua,TZ,-5.0606,31.7936,71.64,43,99,4.16,overcast clouds
201,Mareeba,AU,-17.0,145.4333,92.32,46,8,8.86,clear sky
202,San Andres,CO,12.5847,-81.7006,83.62,74,14,4.81,few clouds
203,Itarema,BR,-2.9248,-39.9167,79.74,77,62,14.9,broken clouds
204,Avera,US,33.194,-82.5271,66.07,87,4,8.55,clear sky
205,Ancud,CL,-41.8697,-73.8203,49.69,87,100,5.21,overcast clouds
206,Octeville,FR,49.6261,-1.6435,58.93,82,100,12.66,light rain
207,Hadejia,NG,12.4498,10.0444,78.6,17,100,6.82,overcast clouds
208,Imbituba,BR,-28.24,-48.6703,64.58,90,3,4.41,clear sky
209,Tias,ES,28.9611,-13.645,64.08,82,0,4.61,clear sky
210,Dingle,PH,10.9995,122.6711,84.02,75,58,12.44,broken clouds
211,Saint George,US,37.1041,-113.5841,68.95,45,0,3.0,clear sky
212,Talnakh,RU,69.4865,88.3972,-2.2,89,100,9.95,overcast clouds
213,Santa Cruz,BO,-17.8,-63.1667,78.26,69,20,4.61,few clouds
214,Altay,CN,47.8667,88.1167,39.51,65,15,4.76,few clouds
215,Qaanaaq,GL,77.484,-69.3632,16.36,80,82,7.38,broken clouds
216,Launceston,AU,-41.45,147.1667,50.81,81,90,29.93,light rain
217,Cidreira,BR,-30.1811,-50.2056,67.82,85,35,17.36,scattered clouds
218,Ugoofaaru,MV,5.6667,73.0,81.81,75,84,9.89,broken clouds
219,Dikson,RU,73.5069,80.5464,9.16,87,100,4.59,overcast clouds
220,Sinnamary,GF,5.3833,-52.95,78.8,87,100,9.04,overcast clouds
221,Hualmay,PE,-11.0964,-77.6139,64.13,83,95,8.43,overcast clouds
222,Jijiga,ET,9.35,42.8,58.01,30,1,7.67,clear sky
223,Geraldton,AU,-28.7667,114.6,70.12,30,0,11.5,clear sky
224,Bitung,ID,1.4451,125.1824,86.85,71,22,6.91,few clouds
225,Asau,RO,46.4333,26.4,44.76,67,3,2.35,clear sky
226,Port Lincoln,AU,-34.7333,135.8667,57.25,57,78,14.27,broken clouds
227,Clyde River,CA,70.4692,-68.5914,28.02,95,97,6.78,overcast clouds
228,Norman Wells,CA,65.282,-126.8329,23.45,93,100,5.44,overcast clouds
229,Port Elizabeth,ZA,-33.918,25.5701,63.1,80,100,11.88,overcast clouds
230,Port Blair,IN,11.6667,92.75,83.1,74,77,12.39,broken clouds
231,Hervey Bay,AU,-25.2986,152.8535,85.03,72,90,17.9,overcast clouds
232,Berlevag,NO,70.8578,29.0864,36.95,91,66,17.22,broken clouds
233,Ca Mau,VN,9.1769,105.15,85.15,73,99,8.72,overcast clouds
234,Ostrovnoy,RU,68.0531,39.5131,29.53,87,100,22.08,overcast clouds
235,Grand Gaube,MU,-20.0064,57.6608,74.37,77,5,5.99,clear sky
236,Kaitangata,NZ,-46.2817,169.8464,61.0,69,50,5.79,scattered clouds
237,Ostersund,SE,63.1792,14.6357,51.62,93,75,13.8,broken clouds
238,Manama,BH,26.2154,50.5832,80.58,78,96,3.44,overcast clouds
239,Potosi,BO,-19.5836,-65.7531,39.0,86,64,2.24,broken clouds
240,Kamenka,RU,51.3223,42.7678,44.56,95,99,9.33,overcast clouds
241,Srednekolymsk,RU,67.45,153.6833,4.69,88,100,1.68,overcast clouds
242,Cabedelo,BR,-6.9811,-34.8339,75.87,76,89,13.22,overcast clouds
243,Usakos,NA,-22.0,15.6,68.0,47,9,2.93,clear sky
244,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.78,81,89,7.85,overcast clouds
245,Kuusamo,FI,65.9667,29.1833,35.64,100,90,5.75,fog
246,Qujing,CN,25.4833,103.7833,57.69,89,100,3.85,overcast clouds
247,Aketi,CD,2.7388,23.7833,69.96,99,100,0.94,overcast clouds
248,Aksarka,RU,66.5606,67.7975,19.38,94,100,20.45,light snow
249,Ondjiva,AO,-17.0667,15.7333,69.87,64,47,4.25,scattered clouds
250,Pachmarhi,IN,22.4667,78.4333,57.16,62,1,2.48,clear sky
251,Changji,CN,44.0167,87.3167,45.39,53,0,6.71,clear sky
252,Birjand,IR,32.8663,59.2211,48.42,40,0,1.97,clear sky
253,De-Kastri,RU,51.4667,140.7833,43.61,64,2,1.32,clear sky
254,Tragana,GR,38.6167,23.1167,57.42,76,97,10.69,overcast clouds
255,Trybukhivtsi,UA,49.0436,25.4581,43.25,88,10,6.49,clear sky
256,San Bernardo,CL,-33.6,-70.7167,75.74,35,0,2.42,clear sky
257,Jefferson City,US,38.5767,-92.1735,50.9,87,90,9.22,mist
258,Caloundra,AU,-26.8,153.1333,90.86,56,89,5.12,overcast clouds
259,Jaciara,BR,-15.9653,-54.9683,73.56,85,58,1.68,broken clouds
260,Atar,MR,20.5169,-13.0499,79.27,35,100,5.5,overcast clouds
261,Shingu,JP,33.7333,135.9833,67.05,36,0,1.74,clear sky
262,Supe,PE,-10.8,-77.7333,63.75,84,99,7.49,overcast clouds
263,Rantepao,ID,-2.9701,119.8978,79.92,73,36,3.18,scattered clouds
264,Rancho Palos Verdes,US,33.7445,-118.387,83.66,50,1,13.8,clear sky
265,Lagoa,PT,39.05,-27.9833,69.49,91,100,33.31,overcast clouds
266,Kautokeino,NO,69.0125,23.0412,29.01,99,100,11.43,overcast clouds
267,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,45.19,61,0,8.95,clear sky
268,Manzhouli,CN,49.6,117.4333,41.02,51,100,4.5,overcast clouds
269,Vyartsilya,RU,62.1764,30.693,45.18,98,100,7.78,overcast clouds
270,Vacaria,BR,-28.5122,-50.9339,55.58,97,4,6.78,clear sky
271,Puerto Madero,MX,14.7208,-92.4215,75.4,100,90,11.5,overcast clouds
272,Muskegon Heights,US,43.2011,-86.239,54.39,77,90,1.01,overcast clouds
273,Breytovo,RU,58.2993,37.8617,36.95,88,100,9.37,light rain
274,Mayo,US,38.8876,-76.5119,62.19,82,90,10.0,overcast clouds
275,Salalah,OM,17.0151,54.0924,75.2,76,1,3.29,clear sky
276,Laguna,US,38.421,-121.4238,70.3,81,1,0.0,clear sky
277,Jiwani,PK,25.05,61.7417,78.62,64,0,6.89,clear sky
278,Kampong Thum,KH,12.7111,104.8887,81.63,82,100,3.31,overcast clouds
279,Husavik,IS,66.0449,-17.3389,40.06,96,100,22.48,light rain
280,San Marcos,US,33.1434,-117.1661,80.01,54,0,3.0,clear sky
281,Gravdal,NO,68.1214,13.5031,45.7,86,5,21.63,clear sky
282,Abu Samrah,SY,35.3029,37.1841,62.49,55,97,4.45,overcast clouds
283,Suntar,RU,62.1444,117.6319,21.47,82,100,12.57,light snow
284,Portree,GB,57.4129,-6.1942,49.86,91,100,4.56,overcast clouds
285,Shimoda,JP,34.6667,138.95,65.1,48,0,17.34,clear sky
286,Aleppo,SY,36.25,37.5,58.14,66,10,4.45,clear sky
287,Gizo,SB,-8.103,156.8419,86.23,62,46,1.52,scattered clouds
288,Pontes E Lacerda,BR,-15.2261,-59.3353,71.29,95,100,3.89,moderate rain
289,Panzhihua,CN,26.5851,101.7128,63.27,90,97,2.01,overcast clouds
290,Roald,NO,62.5833,6.1333,55.17,100,75,8.05,broken clouds
291,San Cristobal,VE,7.7669,-72.225,66.13,98,98,3.42,overcast clouds
292,Pastos Bons,BR,-6.6017,-44.0767,77.59,42,5,1.95,clear sky
293,Havelock,US,34.8791,-76.9013,69.94,93,100,5.99,overcast clouds
294,Nemuro,JP,43.3236,145.575,48.94,80,100,26.73,overcast clouds
295,Santa Vitoria,BR,-18.8386,-50.1214,75.15,67,100,9.01,overcast clouds
296,Pisco,PE,-13.7,-76.2167,61.02,92,27,2.98,scattered clouds
297,Constitucion,CL,-35.3333,-72.4167,54.18,79,6,14.09,clear sky
298,Raudeberg,NO,61.9875,5.1352,53.2,94,100,11.01,overcast clouds
299,Cassilandia,BR,-19.1133,-51.7342,72.45,83,100,2.57,overcast clouds
300,Arrecife,ES,28.963,-13.5477,66.18,82,0,4.61,clear sky
301,Novikovo,RU,51.1537,37.8879,40.78,92,66,6.11,broken clouds
302,Ferrol,ES,43.4832,-8.2369,61.36,84,100,11.27,overcast clouds
303,Kropotkin,RU,45.4375,40.5756,41.77,60,99,5.32,overcast clouds
304,Inhambane,MZ,-23.865,35.3833,65.93,72,34,5.28,scattered clouds
305,Padang,ID,-0.9492,100.3543,82.45,66,95,0.31,overcast clouds
306,Alofi,NU,-19.0595,-169.9187,80.49,65,75,18.41,broken clouds
307,Kavaratti,IN,10.5669,72.642,81.77,75,98,7.74,overcast clouds
308,Banda Aceh,ID,5.5577,95.3222,82.71,77,78,1.54,broken clouds
309,Betare Oya,CM,5.6,14.0833,66.78,94,46,3.49,scattered clouds
310,Jieshi,CN,22.8134,115.8257,77.95,74,98,14.94,overcast clouds
311,Katobu,ID,-4.9408,122.5276,90.37,52,12,3.24,few clouds
312,Sherpur,BD,25.0188,90.0175,74.01,80,4,5.68,clear sky
313,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.42,94,71,2.21,broken clouds
314,Yashkul,RU,46.1711,45.3435,43.0,48,100,7.83,light rain
315,Saint-Pierre,RE,-21.3393,55.4781,73.04,85,90,4.61,moderate rain
316,Severnyy,RU,50.677,36.5532,41.04,100,79,4.47,fog
317,Uyemskiy,RU,64.4743,40.8524,26.65,93,90,11.18,heavy shower snow
318,Souillac,MU,-20.5167,57.5167,74.35,84,3,7.45,clear sky
319,Xuddur,SO,4.1213,43.8894,70.48,91,6,5.41,clear sky
320,Gat,IL,31.61,34.7642,76.41,34,100,4.16,overcast clouds
321,Yangjiang,CN,21.85,111.9667,79.95,75,19,8.66,few clouds
322,Shushtar,IR,32.0455,48.8567,74.43,17,95,5.1,overcast clouds
323,Ituporanga,BR,-27.4144,-49.6025,65.01,93,69,2.08,broken clouds
324,Beringovskiy,RU,63.05,179.3167,8.17,77,24,4.79,few clouds
325,Dunedin,NZ,-45.8742,170.5036,58.15,76,89,3.87,overcast clouds
326,Pundaguitan,PH,6.3711,126.1689,82.44,78,98,9.28,overcast clouds
327,Odweyne,SO,9.4092,45.064,66.74,46,1,6.62,clear sky
328,Ocos,GT,14.5094,-92.1933,83.32,78,100,1.3,overcast clouds
329,Kaoma,ZM,-14.7833,24.8,65.23,64,4,4.18,clear sky
330,Norrtalje,SE,59.758,18.705,49.01,86,7,10.47,clear sky
331,Bosaso,SO,11.2842,49.1816,77.58,55,3,5.37,clear sky
332,Northam,GB,51.0333,-4.2167,58.42,94,100,12.19,overcast clouds
333,Severnoye,RU,56.3491,78.3619,32.59,62,72,14.41,broken clouds
334,Kui Buri,TH,12.0828,99.8543,84.2,70,53,7.11,broken clouds
335,Lazaro Cardenas,MX,17.9583,-102.2,78.01,81,2,3.4,clear sky
336,Moroni,KM,-11.7022,43.2551,75.2,73,20,8.05,few clouds
337,Arraial Do Cabo,BR,-22.9661,-42.0278,70.83,91,100,14.9,overcast clouds
338,Lisburn,GB,54.5234,-6.0353,50.22,97,20,1.14,moderate rain
339,Tromso,NO,69.6496,18.957,42.82,81,75,3.0,broken clouds
