City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Rantepao,ID,79.92,scattered clouds,-2.9701,119.8978,Hotel Luta Resort
264,Rancho Palos Verdes,US,83.66,clear sky,33.7445,-118.387,Terranea Resort
271,Puerto Madero,MX,75.4,overcast clouds,14.7208,-92.4215,Hospedaje madero
275,Salalah,OM,75.2,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
277,Jiwani,PK,78.62,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
278,Kampong Thum,KH,81.63,overcast clouds,12.7111,104.8887,Sambor Village Hotel
280,San Marcos,US,80.01,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
287,Gizo,SB,86.23,scattered clouds,-8.103,156.8419,Imagination Island
292,Pastos Bons,BR,77.59,clear sky,-6.6017,-44.0767,Área de lazer casa (Pucina)
295,Santa Vitoria,BR,75.15,overcast clouds,-18.8386,-50.1214,Center Hotel
305,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
306,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
307,Kavaratti,IN,81.77,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
308,Banda Aceh,ID,82.71,broken clouds,5.5577,95.3222,Sulthan Hotel International
310,Jieshi,CN,77.95,overcast clouds,22.8134,115.8257,Yuehai Hotel
320,Gat,IL,76.41,overcast clouds,31.61,34.7642,OlusHome
321,Yangjiang,CN,79.95,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
326,Pundaguitan,PH,82.44,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
328,Ocos,GT,83.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
331,Bosaso,SO,77.58,clear sky,11.2842,49.1816,Red Sea Hotel
334,Kui Buri,TH,84.2,broken clouds,12.0828,99.8543,Rista House & Resort
335,Lazaro Cardenas,MX,78.01,clear sky,17.9583,-102.2,quinta antigua
336,Moroni,KM,75.2,few clouds,-11.7022,43.2551,Hotel les Arcades
341,Kalianget,ID,87.35,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
342,Hithadhoo,MV,83.32,overcast clouds,-0.6,73.0833,Scoop Guest House
343,Itaituba,BR,75.33,clear sky,-4.2761,-55.9836,Hotel Campos
344,Ballina,AU,75.16,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
349,Tutoia,BR,78.8,broken clouds,-2.7619,-42.2744,Pousada Guará's
350,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
359,Fortuna Foothills,US,80.08,clear sky,32.6578,-114.4119,Fortuna De Oro RV Park
360,Bandarbeyla,SO,77.34,clear sky,9.4942,50.8122,JABIR HOTEL
367,Senador Jose Porfirio,BR,75.0,few clouds,-2.5908,-51.9542,Pousada Novo Horizonte
370,Dicabisagan,PH,80.69,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
371,Goure,NE,79.02,overcast clouds,13.9835,10.2704,
372,Road Town,VG,80.2,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
380,Lagos,NG,77.32,overcast clouds,6.5833,3.75,
387,Abu Zabad,SD,75.63,clear sky,12.35,29.25,حامد محمد نور
391,Atambua,ID,88.41,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
393,Iralaya,HN,81.52,scattered clouds,15.0,-83.2333,Iglesia morava renovada
398,Puerto Escondido,MX,80.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
399,Falakata,IN,77.83,clear sky,26.5208,89.2055,Hotel Nandanik Palace
400,Bilma,NE,76.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
402,Araouane,ML,78.85,overcast clouds,18.9048,-3.5265,
405,Touho,NC,75.38,few clouds,-20.7833,165.2333,Auberge Timay Evasion
